Season,Rk,Player,Pos,Age_nba,Tm_nba,G_nba,GS_nba,MP_nba,FG_nba,FGA_nba,FG%_nba,3P_nba,3PA_nba,3P%_nba,2P_nba,2PA_nba,2P%_nba,FT_nba,FTA_nba,FT%_nba,ORB_nba,DRB_nba,TRB_nba,AST_nba,STL_nba,BLK_nba,TOV_nba,PF_nba,PTS_nba,Tm_gleague,Age_gleague,G_gleague,GS_gleague,MP_gleague,FG_gleague,FGA_gleague,FG%_gleague,3P_gleague,3PA_gleague,3P%_gleague,2P_gleague,2PA_gleague,2P%_gleague,FT_gleague,FTA_gleague,FT%_gleague,ORB_gleague,DRB_gleague,TRB_gleague,AST_gleague,STL_gleague,BLK_gleague,TOV_gleague,PF_gleague,PTS_gleague
2016,299,Jordan Mickey,PF,21,BOS,16,0,57,5.1,13.9,0.364,0,0,NA,5.1,13.9,0.364,3.2,6.3,0.5,3.8,4.4,8.2,0.6,0,6.9,0.6,3.2,13.3,MAI,21,23,22,767,7.6,14.3,0.531,0.3,0.9,0.35,7.3,13.4,0.544,3.3,4.4,0.745,2.4,8.6,11.1,1.4,0.8,4.7,2.3,2.5,18.8
2016,320,Xavier Munford,SG,23,MEM,14,0,244,4.7,11.4,0.416,1.3,3.4,0.391,3.4,8,0.426,1,2.1,0.5,0.4,4.1,4.6,3.2,1.9,0.4,2.2,3.7,11.8,BAK,23,41,37,1383,7.8,15.9,0.49,1.8,4.4,0.412,6,11.5,0.52,4.3,5.4,0.811,0.5,4,4.5,6.9,1.1,0.4,3.5,2.4,21.8
2016,330,Lucas Nogueira,C,23,TOR,29,1,225,4.5,7,0.636,0.2,0.5,0.333,4.3,6.6,0.659,1.3,2.4,0.533,2.9,4.5,7.4,1.1,1.9,1.9,1.8,4.6,10.4,RAP,23,11,6,277,5.8,10.3,0.57,0.4,1.6,0.25,5.5,8.7,0.627,2.1,2.7,0.762,3.1,6.4,9.5,4.2,1,2.5,3.1,4.5,14.2
2016,346,Lamar Patterson,SG,24,ATL,35,0,395,2.6,7.3,0.35,1.1,4.5,0.245,1.5,2.8,0.516,1.5,2,0.727,0.4,4.2,4.6,3.6,0.8,0.2,2.1,4.1,7.7,TOT,24,19,15,512,6,14,0.432,1.3,4.9,0.257,4.8,9.1,0.527,3.8,4.9,0.783,1.1,4.1,5.3,5.7,1.3,0.3,4.1,4.1,17.2
2016,363,Phil Pressey,PG,24,TOT,23,0,283,3.8,9.9,0.385,0.5,2.3,0.222,3.3,7.6,0.433,1.7,3.2,0.52,0.4,3.6,3.9,9.5,2.3,0.5,4.2,3.6,9.8,IDA,24,31,25,1102,5,11.6,0.43,1.6,4.9,0.336,3.4,6.8,0.498,2.2,3.1,0.708,0.9,3.7,4.6,6.9,2.1,0.3,3.7,2.4,13.9
2016,381,Terry Rozier,PG,21,BOS,39,0,311,3.4,12.3,0.274,0.7,3.1,0.222,2.7,9.1,0.291,0.9,1.2,0.8,2.8,4.5,7.3,4.3,0.7,0.1,2.2,2.7,8.3,MAI,21,14,14,472,6.9,17.5,0.393,1.9,5.6,0.338,5,11.8,0.419,5,6.5,0.776,1.5,5.3,6.9,8.5,2,0.2,2.9,2.2,20.7
2016,396,Henry Sims,C,25,BRK,14,4,263,4.5,10.5,0.429,0,0,NA,4.5,10.5,0.429,3.4,4.1,0.833,2.9,7,9.9,1.2,1.2,1.9,1.6,5.1,12.5,GRR,25,40,38,1199,7.2,13.3,0.541,0,0.2,0.167,7.1,13.1,0.546,4.5,5.9,0.753,3.6,7.1,10.7,1.1,1.4,1.1,2.5,4.9,18.9
2016,400,Greg Smith,PF,25,MIN,18,0,192,3.4,6,0.563,0,0,NA,3.4,6,0.563,1.3,3.2,0.412,2.3,5.6,7.9,1.1,0.7,0.2,1.3,5.2,8.1,RAP,25,17,12,477,6,11.8,0.513,0,0.4,0,6,11.4,0.53,4.1,6.6,0.614,2.5,7.8,10.3,3.1,1.4,0.4,1.8,3.6,16.2
2016,405,Russ Smith,PG,24,MEM,15,0,66,3.8,12,0.318,0.5,2.7,0.2,3.3,9.3,0.353,4.4,7.1,0.615,0.5,4.4,4.9,6,2.7,0.5,3.8,2.7,12.5,TOT,24,22,14,814,9.6,20.8,0.46,2.1,7,0.304,7.4,13.8,0.538,5.9,7.6,0.778,0.9,3.9,4.8,7.6,2.1,0.1,4.8,3.7,27.1
2016,427,Marcus Thornton,SG,28,TOT,61,8,1109,7,17.6,0.399,3,8.8,0.337,4.1,8.8,0.46,2.2,2.6,0.848,1.2,3.6,4.9,2.8,1.5,0.1,1.7,2.9,19.2,MAI,22,12,6,325,6.5,14.3,0.457,2.5,7.1,0.359,4,7.2,0.554,2.4,3.4,0.71,0.4,2.3,2.8,3.3,0.7,0.4,1.7,1.4,18.1
