Season,Player,Tm,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016,Anthony Walker,FOR,22,13,2,131,4.4,6.9,0.64,0,0,NA,4.4,6.9,0.64,1.4,2.5,0.556,1.1,3.6,4.7,0.5,1.4,4.9,1.6,5.2,10.2
2016,Chris Walker,RIO,21,47,2,978,6.8,11.3,0.601,0,0.2,0.2,6.8,11.2,0.607,2.5,4.6,0.54,5.1,7.1,12.1,1.5,1,2.3,2.6,4.9,16.1
2016,Devondrick Walker,WES,23,25,0,370,4.1,10.6,0.385,1.8,5.7,0.322,2.2,4.9,0.46,1.7,2,0.81,0.5,4.9,5.4,2,1.2,0.1,1.9,3.4,11.7
2016,Ty Walker,IOW,26,11,8,247,3.9,7.3,0.54,0,0.1,0,3.9,7.1,0.551,0.9,2.6,0.333,3.1,9.8,12.8,0.6,0.1,3.1,2.2,3.5,8.7
2016,Karrington Ward,ERI,22,6,0,23,3.1,11,0.286,0,3.1,0,3.1,7.8,0.4,0,0,NA,1.6,9.4,11,0,0,0,0,3.1,6.3
2016,Julian Washburn,AUS,24,48,15,906,3,7.2,0.418,1.5,3.7,0.398,1.5,3.5,0.438,0.7,1.1,0.607,0.6,5.3,5.9,1.2,0.7,0.4,1.2,3.1,8.2
2016,Briante Weber,SFL,23,28,9,805,5.4,11.5,0.469,0.9,2.2,0.408,4.5,9.3,0.483,1.7,2.3,0.725,0.9,5.7,6.6,5.2,2.6,0.2,2.3,3,13.4
2016,Dez Wells,OKL,23,24,21,704,5.8,13.4,0.433,1.1,4.6,0.247,4.7,8.9,0.529,2.8,4,0.684,0.3,2.5,2.8,2.4,1,0.5,2.2,3.1,15.5
2016,Byron Wesley,SFL,23,13,0,102,5.6,9.2,0.615,0,0.4,0,5.6,8.8,0.64,1.4,1.8,0.8,1.8,6,7.8,0.7,0.4,0.4,2.1,3.2,12.7
2016,Terry Whisnant,IOW,23,50,33,1639,4.3,10.2,0.425,2.4,6.4,0.378,1.9,3.8,0.503,1,1.3,0.793,0.6,3,3.6,1.6,1.3,0.3,1.1,2.8,12.1
2016,Ladarius White,TOT,23,3,2,66,5.5,14.2,0.385,2.2,6,0.364,3.3,8.2,0.4,0.5,1.1,0.5,0,3.3,3.3,0.5,1.1,0.5,1.6,1.6,13.6
2016,Terrico White,BAK,25,43,41,1603,7.3,14.9,0.488,2.3,5.5,0.42,5,9.4,0.527,2.3,3.1,0.759,0.9,4.4,5.3,2.5,1.1,0.2,1,2,19.2
2016,Greg Whittington,SFL,22,27,26,964,5.2,12,0.43,1.8,5.1,0.343,3.4,6.9,0.495,1.9,2.5,0.746,0.9,7.1,8,2.7,2.1,1,2.2,3.2,13.9
2016,Shayne Whittington,FOR,24,40,37,1231,5.1,11.9,0.429,1.5,4.9,0.31,3.6,7,0.513,2.5,3,0.816,2.3,6.9,9.2,1.6,1.7,0.6,2.3,3.5,14.2
2016,Nick Wiggins,RAP,24,10,0,102,5.6,17.3,0.327,1.4,5.6,0.25,4.2,11.6,0.364,1.4,2.5,0.571,1.8,4.2,6,1.4,1.1,0.4,2.1,3.2,14.1
2016,C.J. Wilcox,TOT,25,21,18,687,7.1,15.6,0.458,3.6,8.5,0.417,3.6,7,0.507,2.7,3.2,0.836,0.5,3.7,4.2,3.1,0.8,0.3,1.6,2.5,20.5
2016,Amir Williams,RIO,23,38,12,508,3.1,5.1,0.611,0,0,NA,3.1,5.1,0.611,2.6,4.1,0.621,3,5.5,8.5,0.9,0.8,1.8,1.8,5.6,8.8
2016,Coron Williams,MAI,26,39,0,482,5.1,10,0.507,3.7,7.6,0.48,1.4,2.4,0.594,1.5,1.6,0.909,0.9,1.9,2.8,3.1,0.7,0.1,1.5,2.3,15.3
2016,Elliot Williams,SAN,26,21,21,861,8.8,17.9,0.491,1.5,4.3,0.343,7.3,13.6,0.537,5.9,7.5,0.789,0.8,5.1,5.9,5.2,1,0.2,2.6,2,25
2016,Jeremy Williams,IDA,28,40,27,920,4.9,13,0.375,1.7,5.1,0.336,3.2,7.9,0.401,2.5,3.3,0.741,2.1,4.9,6.9,2.4,1.3,0.9,2,4.7,14
2016,L.D. Williams,FOR,27,8,0,48,3.7,12,0.313,0,6,0,3.7,6,0.625,4.5,4.5,1,0,6,6,1.5,0.7,0,3,3,12
2016,Jamil Wilson,TEX,25,48,36,1592,6.1,13,0.466,2.3,5.9,0.386,3.8,7.2,0.531,2.1,2.8,0.746,1.2,4.8,6,2.1,1,0.6,2,3.3,16.5
2016,Christian Wood,DEL,20,32,22,922,8.1,15.3,0.529,0.9,3.4,0.253,7.2,11.9,0.609,4.6,6.5,0.707,3.4,8.4,11.8,0.8,1.1,1.4,1.8,3.3,21.6
2016,Kameron Woods,OKL,22,49,14,1067,2.9,6,0.48,0.8,2,0.383,2.1,4,0.529,1.2,1.8,0.679,1.5,7.3,8.7,1.5,1,1.2,1.5,1.9,7.8
2016,Delon Wright,RAP,23,15,15,536,6.5,12.2,0.536,1.2,3.4,0.36,5.3,8.8,0.603,3.6,4.5,0.806,0.9,4.1,5,6.5,1.6,0.6,2.8,1.8,17.9
2016,Joel Wright,TOT,26,37,19,1014,6.3,15.4,0.407,0.2,1.2,0.171,6.1,14.2,0.428,5.9,7.2,0.817,2.5,5.7,8.2,2.5,1.6,0.7,3.8,4,18.6
2016,Keith Wright,TOT,26,35,7,530,4.1,8.1,0.504,0,0.1,0,4.1,8,0.508,0.9,1.6,0.565,3.9,5.2,9.2,1.6,1.6,1.4,2,4.8,9
2016,James Young,MAI,20,14,6,396,6.5,16,0.409,3.2,9.1,0.35,3.4,6.9,0.487,3.2,3.9,0.814,1.1,6.6,7.7,2.4,1.4,0.9,1.7,2.2,19.5
2016,Joe Young,FOR,23,3,3,105,8.9,20.6,0.433,2.4,3.8,0.636,6.5,16.8,0.388,4.8,5.1,0.933,0,3.4,3.4,2.1,1.7,0,3.4,1.4,25
2016,Kevin Young,MAI,25,14,0,70,3.6,9.8,0.368,0,1.5,0,3.6,8.2,0.438,2.1,3.1,0.667,5.1,7.7,12.9,3.1,1.5,0.5,3.1,7.2,9.3
2016,Talib Zanna,OKL,25,45,38,1299,5.8,12.5,0.465,0.3,1.1,0.293,5.5,11.4,0.482,5.6,7.8,0.716,4,8.6,12.6,1.4,1.4,0.4,2.5,3.4,17.6
2016,Ta'Quan Zimmerman,IDA,24,6,0,75,4.8,15.8,0.303,2.9,9.1,0.316,1.9,6.7,0.286,1.4,1.9,0.75,1.4,2.9,4.3,3.4,1,0,5.3,5.8,13.9
2016,Tomislav Zubcic,OKL,26,36,0,711,5,11.9,0.421,2.2,6.3,0.352,2.8,5.6,0.5,1.8,2.3,0.8,2.5,6.3,8.8,2.6,0.9,0.6,1.8,3.6,14.1
2017,Quincy Acy,TEX,26,12,12,383,6.4,12.8,0.5,1.5,3.9,0.39,4.9,8.9,0.547,5.2,6.8,0.764,1.7,7.5,9.2,1.3,1.8,2.3,3.1,3.9,19.5
2017,Cliff Alexander,TOT,21,40,13,1082,8.6,16.5,0.517,0.3,1.1,0.242,8.3,15.4,0.537,3.7,5,0.733,2.5,9.3,11.8,1.8,0.6,1.3,3.5,3.1,21
2017,Daniel Alexander,NAS,25,15,4,193,4.1,10.4,0.393,1.7,5,0.333,2.4,5.4,0.448,0.6,0.7,0.75,1.1,6.5,7.6,2.4,1.5,0.6,1.9,6.2,10.4
2017,Chris Anderson,GRR,24,39,19,668,4.4,7.9,0.558,0.2,0.6,0.273,4.3,7.3,0.581,2.3,3.3,0.694,4.6,5.7,10.3,1.3,1.4,2,1.8,7.4,11.3
2017,Mike Anderson,SWR,25,28,6,427,1.8,5.4,0.328,1,3.6,0.279,0.8,1.8,0.429,0.8,1.2,0.714,0.8,3.6,4.5,2.9,1,0.3,1.4,4.7,5.4
