Season,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016,214,Andre Iguodala,SF,32,GSW,65,1,1732,3.7,7.6,0.478,1.1,3.2,0.351,2.5,4.4,0.57,1.1,1.7,0.614,1.1,4.4,5.5,4.6,1.5,0.4,1.6,2.1,9.5
2016,215,Ersan İlyasova,PF,28,TOT,74,56,1881,5.4,12.7,0.424,1.8,5,0.371,3.5,7.7,0.458,2.1,2.9,0.721,2.8,5,7.7,1.3,1,0.6,1.4,3.3,14.7
2016,216,Joe Ingles,SF,28,UTA,81,2,1241,3.6,8.4,0.426,2.3,6.1,0.386,1.2,2.3,0.531,0.4,0.5,0.722,0.6,3.8,4.4,2.8,1.6,0.1,1.9,2.8,9.9
2016,217,Damien Inglis,SF,20,MIL,20,1,156,3,8.5,0.351,0.7,3,0.231,2.3,5.5,0.417,1.6,1.8,0.875,0.5,6.7,7.2,2.3,1.4,0.7,2.5,2.5,8.3
2016,218,Kyrie Irving,PG,23,CLE,53,53,1667,8.5,19,0.448,1.8,5.7,0.321,6.7,13.3,0.502,3.6,4.1,0.885,1,2.4,3.4,5.4,1.2,0.4,2.7,2.3,22.5
2016,219,Jarrett Jack,PG,32,BRK,32,32,1027,4.9,12.5,0.391,1.1,3.6,0.304,3.8,9,0.426,3.5,3.9,0.893,0.3,4.5,4.8,8.3,1.2,0.2,3.3,2.7,14.4
2016,220,Reggie Jackson,PG,25,DET,79,79,2424,8,18.5,0.434,1.8,5,0.353,6.3,13.5,0.464,4.3,5,0.864,0.9,2.9,3.8,7.3,0.9,0.2,3.3,2.8,22.1
2016,221,LeBron James,SF,31,CLE,76,76,2709,9.8,18.8,0.52,1.2,3.7,0.309,8.6,15.1,0.573,4.8,6.5,0.731,1.5,6,7.5,6.8,1.4,0.7,3.3,1.9,25.5
2016,222,Al Jefferson,C,31,CHO,47,18,1096,8,16.6,0.485,0,0,NA,8,16.6,0.485,2.4,3.6,0.649,1.9,8,9.9,2.3,1,1.3,1.1,3.8,18.5
2016,223,Cory Jefferson,PF,25,PHO,8,0,50,6.5,15.8,0.409,0,0.7,0,6.5,15.1,0.429,2.9,4.3,0.667,4.3,7.2,11.5,0,0,0.7,0,5.8,15.8
